__file  myLemmaFile.txt
_word _lemma 
abend abend
abnutzbarkeit abnutzbarkeit
allein allein
amtlich amtlich
an an
anfang anfang
animi animi
arbeit arbeit
aschenbach aschenbach
auch auch
august august
aus aus
bald bald
behutsamkeit behutsamkeit
bei bei
belaubt belaubt
beredsamkeit beredsamkeit
besteht bestehen
besteht stehen
bewegung bewegung
cicero cicero
continuus continuus
das das
das der
dass dass
dass daß
dem der
den den
den der
der der
des der
des des
dumpfig dumpfig
eben eben
ein ein
ein einer
eindringlichkeit eindringlichkeit
eine ein
eine eine
eine einer
einem ein
einem einem
einem einer
einen ein
einen einen
einen einer
eingefallen einfallen
einhalt einhalt
einmal einmal
englische englisch
entlastenden entlastenden
er er
erfordernden erfordernden
erspriesslichen erspriesslichen
erst erst
erstes erster
es es
falscher falsch
fortschwingen fortschwingen
freie frei
freie freie
fruehlingsnachmittag fruehlingsnachmittag
fuenfzigsten fuenfzigsten
garten garten
geburtstag geburtstag
gefaehrlichen gefaehrlichen
gefahrdrohende gefahrdrohende
gefunden finden
genauigkeit genauigkeit
gesucht suchen
gewesen sein
gustav gustav
hatte haben
herstellen herstellen
hochsommer hochsommer
hoechste hoechste
hoffnung hoffnung
ihm ihm
ihn ihn
im im
im in
in in
innern innere
jahres jahr
jenem jener
jetzt jetzt
kapitel kapitel
kontinent kontinent
kraefte kraefte
lautete lauten
luft luft
mai mai
miene miene
mittagsmahlzeit mittagsmahlzeit
monatelang monatelang
motus motus
muenchen muenchen
nach nach
naehe naehe
name name
nasskalten nasskalten
nicht nicht
noetig noetig
nur nur
obgleich obgleich
oder oder
prinz prinz
produzierenden produzierend
regentenstrasse regentenstrasse
schlummer schlummer
schriftsteller schriftsteller
schwierigen schwierig
sein sei
sein sein
seinem sein
seinem seine
seiner sein
seit seit
so so
spaziergaenger spaziergaenger
spaziergang spaziergang
stadt stadt
tee tee
tod tod
triebwerks triebwerks
tun tun
ueberreizt ueberreizt
umsicht umsicht
und und
unserem mein
unserem unser
unternommen unternehmen
untertags untertags
venedig venedig
verhelfen verhelfen
vermocht vermögen
voller voll
voller voller
von von
vormittagsstunden vormittagsstunden
wagen wagen
war sein
weiteren weit
weiteren weiter
weiteren weiterer
wesen wesen
wie wie
wieder wieder
willens wille
willens willens
wochen woche
wohnung wohnung
worin worin
wuerden wuerden
zart zart
zeigte zeigen
zu zu
zunehmender zunehmend
