__dictionary_inputText\newWordLemmaDict.txt
_word _lemma 
der der
und und
in in
nach nach
das das
das der
des der
des des
hatte haben
so so
von von
war sein
zu zu
aschenbach aschenbach
dem der
eine ein
eine eine
eine einer
einem ein
einem einem
einem einer
ihm ihm
nicht nicht
seinem sein
seinem seine
seiner sein
wie wie
abend abend
abnutzbarkeit abnutzbarkeit
allein allein
amtlich amtlich
an an
anfang anfang
animi animi
arbeit arbeit
auch auch
august august
aus aus
bald bald
behutsamkeit behutsamkeit
bei bei
belaubt belaubt
beredsamkeit beredsamkeit
besteht bestehen
besteht stehen
bewegung bewegung
cicero cicero
continuus continuus
dass dass
dass daß
den den
den der
dumpfig dumpfig
eben eben
ein ein
ein einer
eindringlichkeit eindringlichkeit
einen ein
einen einen
einen einer
eingefallen einfallen
einhalt einhalt
einmal einmal
englische englisch
entlastenden entlastenden
er er
erfordernden erfordernden
erspriesslichen erspriesslichen
erst erst
erstes erster
es es
falscher falsch
fortschwingen fortschwingen
freie frei
freie freie
fruehlingsnachmittag fruehlingsnachmittag
fuenfzigsten fuenfzigsten
garten garten
geburtstag geburtstag
gefaehrlichen gefaehrlichen
gefahrdrohende gefahrdrohende
gefunden finden
genauigkeit genauigkeit
gesucht suchen
gewesen sein
gustav gustav
herstellen herstellen
hochsommer hochsommer
hoechste hoechste
hoffnung hoffnung
ihn ihn
im im
im in
innern innere
jahres jahr
jenem jener
jetzt jetzt
kapitel kapitel
kontinent kontinent
kraefte kraefte
lautete lauten
luft luft
mai mai
miene miene
mittagsmahlzeit mittagsmahlzeit
monatelang monatelang
motus motus
muenchen muenchen
naehe naehe
name name
nasskalten nasskalten
noetig noetig
nur nur
obgleich obgleich
oder oder
prinz prinz
produzierenden produzierend
regentenstrasse regentenstrasse
schlummer schlummer
schriftsteller schriftsteller
schwierigen schwierig
sein sei
sein sein
seit seit
spaziergaenger spaziergaenger
spaziergang spaziergang
stadt stadt
tee tee
tod tod
triebwerks triebwerks
tun tun
ueberreizt ueberreizt
umsicht umsicht
unserem mein
unserem unser
unternommen unternehmen
untertags untertags
venedig venedig
verhelfen verhelfen
vermocht vermögen
voller voll
voller voller
vormittagsstunden vormittagsstunden
wagen wagen
weiteren weit
weiteren weiter
weiteren weiterer
wesen wesen
wieder wieder
willens wille
willens willens
wochen woche
wohnung wohnung
worin worin
wuerden wuerden
zart zart
zeigte zeigen
zunehmender zunehmend
